period,date,actual,fitted
2021Q2,2021-06-30,-0.040000000000000036,-0.018576147058254652
2021Q3,2021-09-30,-0.010000000000000009,-0.023822330511502947
2021Q4,2021-12-31,-0.020000000000000018,-0.002124872005874477
2022Q1,2022-03-31,-0.040000000000000036,-0.013364275647542143
2022Q2,2022-06-30,-0.020000000000000018,-0.020247100436415512
2022Q3,2022-09-30,-0.010000000000000009,-0.026327022285756337
2022Q4,2022-12-31,-0.030000000000000027,-0.0213434071638776
2023Q1,2023-03-31,-0.009999999999999787,-0.015761391255712052
2023Q2,2023-06-30,0.0,-0.02336182988297762
2023Q3,2023-09-30,-0.010000000000000009,-0.019376566936427298
2023Q4,2023-12-31,-0.020000000000000018,-0.026804892375199
2024Q1,2024-03-31,0.0,
2024Q2,2024-06-30,-0.030000000000000027,
2024Q3,2024-09-30,0.0,
2024Q4,2024-12-31,-0.06000000000000005,
2025Q1,2025-03-31,0.010000000000000009,
2025Q2,2025-06-30,-0.020000000000000018,
