indicator,count,mean,std,min,25%,50%,75%,max
loans_trillion,23.0,211.5339,35.9324,153.11,181.915,210.76,242.32,268.56
deposits_trillion,23.0,258.4265,38.6033,192.88,229.495,257.21,292.71,320.5
loan_yoy,19.0,10.5162,1.9794,6.3348,9.1859,11.266,11.7901,12.8274
loan_to_deposit_ratio,23.0,81.6134,1.8668,78.4869,80.1363,81.6322,82.9236,84.8269
npl_ratio,23.0,1.6891,0.1415,1.49,1.59,1.66,1.78,1.96
nim,23.0,1.847,0.2532,1.42,1.615,1.94,2.07,2.2
provision_coverage,23.0,199.3574,10.4808,179.9,190.185,204.54,207.01,211.97
capital_adequacy,23.0,14.9722,0.4393,14.21,14.65,14.87,15.3,15.74
liquidity_ratio,23.0,64.617,6.9429,57.3,58.645,62.48,68.27,79.9
risk_pressure_index_z,19.0,0.0,1.0274,-1.6381,-0.9347,0.1857,0.7365,1.5485
npl_ratio_qoq_change_pp,22.0,-0.0168,0.034,-0.12,-0.03,-0.015,0.0,0.05
loan_yoy_change_pp,18.0,-0.3204,0.8598,-1.5172,-0.7552,-0.4333,-0.0334,1.1753
loan_to_deposit_ratio_qoq_change_pp,22.0,0.2006,0.9041,-1.5382,-0.47,0.3057,0.7761,1.6482
nim_qoq_change_pp,22.0,-0.0355,0.0536,-0.17,-0.0375,-0.01,-0.0025,0.03
capital_adequacy_qoq_change_pp,22.0,0.0427,0.2155,-0.32,-0.14,0.085,0.215,0.37
risk_pressure_index_z_change,18.0,-0.177,0.1597,-0.5627,-0.2505,-0.1583,-0.0744,0.1125
