period,date,actual,fitted
2021Q1,2021-03-31,1.8,1.6845209147965292
2021Q2,2021-06-30,1.76,1.6714700033930536
2021Q3,2021-09-30,1.75,1.6575140749325923
2021Q4,2021-12-31,1.73,1.6587113001578984
2022Q1,2022-03-31,1.69,1.6182602199347418
2022Q2,2022-06-30,1.67,1.6224859645427436
2022Q3,2022-09-30,1.66,1.6145998238067576
2022Q4,2022-12-31,1.63,1.6014913880862658
2023Q1,2023-03-31,1.62,1.5305665162763704
2023Q2,2023-06-30,1.62,1.511650464491745
2023Q3,2023-09-30,1.61,1.511348487914365
2023Q4,2023-12-31,1.59,1.499890673818073
2024Q1,2024-03-31,1.59,1.5060680634075987
2024Q2,2024-06-30,1.56,
2024Q3,2024-09-30,1.56,
2024Q4,2024-12-31,1.5,
2025Q1,2025-03-31,1.51,
2025Q2,2025-06-30,1.49,
