equation,variable,coef,std_err,t_value,p_value
npl_ratio_qoq_change_pp,const,-0.025351,0.009389,-2.700107,0.006932
npl_ratio_qoq_change_pp,L1.npl_ratio_qoq_change_pp,-0.359048,0.265029,-1.354751,0.175497
npl_ratio_qoq_change_pp,L1.loan_yoy_change_pp,0.002561,0.005775,0.443527,0.657385
npl_ratio_qoq_change_pp,L1.nim_qoq_change_pp,-0.040883,0.090135,-0.453574,0.650135
npl_ratio_qoq_change_pp,L1.capital_adequacy_qoq_change_pp,-0.009741,0.022594,-0.431157,0.666354
loan_yoy_change_pp,const,-0.011316,0.437721,-0.025852,0.979375
loan_yoy_change_pp,L1.npl_ratio_qoq_change_pp,7.312936,12.355941,0.591856,0.553947
loan_yoy_change_pp,L1.loan_yoy_change_pp,-0.289032,0.269239,-1.073515,0.28304
loan_yoy_change_pp,L1.nim_qoq_change_pp,3.925327,4.202192,0.934114,0.350245
loan_yoy_change_pp,L1.capital_adequacy_qoq_change_pp,-1.048382,1.053346,-0.995288,0.319596
nim_qoq_change_pp,const,-0.018082,0.029121,-0.620908,0.53466
nim_qoq_change_pp,L1.npl_ratio_qoq_change_pp,0.903548,0.82203,1.099167,0.271695
nim_qoq_change_pp,L1.loan_yoy_change_pp,-0.004582,0.017912,-0.25582,0.79809
nim_qoq_change_pp,L1.nim_qoq_change_pp,-0.020169,0.279568,-0.072142,0.942489
nim_qoq_change_pp,L1.capital_adequacy_qoq_change_pp,-0.103185,0.070078,-1.472425,0.140906
capital_adequacy_qoq_change_pp,const,0.190876,0.103568,1.842993,0.06533
capital_adequacy_qoq_change_pp,L1.npl_ratio_qoq_change_pp,4.234433,2.923521,1.448402,0.147505
capital_adequacy_qoq_change_pp,L1.loan_yoy_change_pp,0.000938,0.063704,0.014725,0.988251
capital_adequacy_qoq_change_pp,L1.nim_qoq_change_pp,1.335283,0.994274,1.342973,0.179281
capital_adequacy_qoq_change_pp,L1.capital_adequacy_qoq_change_pp,0.144945,0.249231,0.58157,0.560856
