horizon,response,impulse,effect
0,npl_ratio_qoq_change_pp,npl_ratio_qoq_change_pp,1.0
0,npl_ratio_qoq_change_pp,loan_yoy_change_pp,0.0
0,npl_ratio_qoq_change_pp,nim_qoq_change_pp,0.0
0,npl_ratio_qoq_change_pp,capital_adequacy_qoq_change_pp,0.0
0,loan_yoy_change_pp,npl_ratio_qoq_change_pp,0.0
0,loan_yoy_change_pp,loan_yoy_change_pp,1.0
0,loan_yoy_change_pp,nim_qoq_change_pp,0.0
0,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,0.0
0,nim_qoq_change_pp,npl_ratio_qoq_change_pp,0.0
0,nim_qoq_change_pp,loan_yoy_change_pp,0.0
0,nim_qoq_change_pp,nim_qoq_change_pp,1.0
0,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,0.0
0,capital_adequacy_qoq_change_pp,npl_ratio_qoq_change_pp,0.0
0,capital_adequacy_qoq_change_pp,loan_yoy_change_pp,0.0
0,capital_adequacy_qoq_change_pp,nim_qoq_change_pp,0.0
0,capital_adequacy_qoq_change_pp,capital_adequacy_qoq_change_pp,1.0
1,npl_ratio_qoq_change_pp,npl_ratio_qoq_change_pp,-0.35904784
1,npl_ratio_qoq_change_pp,loan_yoy_change_pp,0.00256138
1,npl_ratio_qoq_change_pp,nim_qoq_change_pp,-0.04088284
1,npl_ratio_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.00974145
1,loan_yoy_change_pp,npl_ratio_qoq_change_pp,7.31293563
1,loan_yoy_change_pp,loan_yoy_change_pp,-0.2890321
1,loan_yoy_change_pp,nim_qoq_change_pp,3.92532733
1,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,-1.0483821
1,nim_qoq_change_pp,npl_ratio_qoq_change_pp,0.90354779
1,nim_qoq_change_pp,loan_yoy_change_pp,-0.00458231
1,nim_qoq_change_pp,nim_qoq_change_pp,-0.02016871
1,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.10318483
1,capital_adequacy_qoq_change_pp,npl_ratio_qoq_change_pp,4.23443337
1,capital_adequacy_qoq_change_pp,loan_yoy_change_pp,0.00093807
1,capital_adequacy_qoq_change_pp,nim_qoq_change_pp,1.33528314
1,capital_adequacy_qoq_change_pp,capital_adequacy_qoq_change_pp,0.14494506
2,npl_ratio_qoq_change_pp,npl_ratio_qoq_change_pp,0.06945747
2,npl_ratio_qoq_change_pp,loan_yoy_change_pp,-0.00148178
2,npl_ratio_qoq_change_pp,nim_qoq_change_pp,0.01255012
2,npl_ratio_qoq_change_pp,capital_adequacy_qoq_change_pp,0.00361885
2,loan_yoy_change_pp,npl_ratio_qoq_change_pp,-5.63195027
2,loan_yoy_change_pp,loan_yoy_change_pp,0.08330028
2,loan_yoy_change_pp,nim_qoq_change_pp,-2.9125749
2,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,-0.32521458
2,nim_qoq_change_pp,npl_ratio_qoq_change_pp,-0.81307972
2,nim_qoq_change_pp,loan_yoy_change_pp,0.00363439
2,nim_qoq_change_pp,nim_qoq_change_pp,-0.19230085
2,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.01687288
2,capital_adequacy_qoq_change_pp,npl_ratio_qoq_change_pp,0.30674819
2,capital_adequacy_qoq_change_pp,loan_yoy_change_pp,0.00459217
2,capital_adequacy_qoq_change_pp,nim_qoq_change_pp,-0.00282166
2,capital_adequacy_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.15900488
3,npl_ratio_qoq_change_pp,npl_ratio_qoq_change_pp,-0.00911131
3,npl_ratio_qoq_change_pp,loan_yoy_change_pp,0.00055208
3,npl_ratio_qoq_change_pp,nim_qoq_change_pp,-0.00407703
3,npl_ratio_qoq_change_pp,capital_adequacy_qoq_change_pp,0.00010641
3,loan_yoy_change_pp,npl_ratio_qoq_change_pp,-1.37744094
3,loan_yoy_change_pp,loan_yoy_change_pp,-0.0254608
3,loan_yoy_change_pp,nim_qoq_change_pp,0.18172028
3,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,0.22092817
3,nim_qoq_change_pp,npl_ratio_qoq_change_pp,0.07331249
3,nim_qoq_change_pp,loan_yoy_change_pp,-0.00226771
3,nim_qoq_change_pp,nim_qoq_change_pp,0.02885557
3,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,0.02150724
3,capital_adequacy_qoq_change_pp,npl_ratio_qoq_change_pp,-0.75240015
3,capital_adequacy_qoq_change_pp,loan_yoy_change_pp,-0.00067781
3,capital_adequacy_qoq_change_pp,nim_qoq_change_pp,-0.20677461
3,capital_adequacy_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.03055834
4,npl_ratio_qoq_change_pp,npl_ratio_qoq_change_pp,0.00407549
4,npl_ratio_qoq_change_pp,loan_yoy_change_pp,-0.00016412
4,npl_ratio_qoq_change_pp,nim_qoq_change_pp,0.00276389
4,npl_ratio_qoq_change_pp,capital_adequacy_qoq_change_pp,-5.392e-05
4,loan_yoy_change_pp,npl_ratio_qoq_change_pp,1.40807259
4,loan_yoy_change_pp,loan_yoy_change_pp,0.00320538
4,loan_yoy_change_pp,nim_qoq_change_pp,0.24770832
4,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,0.05338259
4,nim_qoq_change_pp,npl_ratio_qoq_change_pp,0.07423702
4,nim_qoq_change_pp,loan_yoy_change_pp,0.00073117
4,nim_qoq_change_pp,nim_qoq_change_pp,0.01623754
4,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,0.00180317
4,capital_adequacy_qoq_change_pp,npl_ratio_qoq_change_pp,-0.05103713
4,capital_adequacy_qoq_change_pp,loan_yoy_change_pp,-0.00081244
4,capital_adequacy_qoq_change_pp,nim_qoq_change_pp,-0.00853404
4,capital_adequacy_qoq_change_pp,capital_adequacy_qoq_change_pp,0.0249468
5,npl_ratio_qoq_change_pp,npl_ratio_qoq_change_pp,-0.00039452
5,npl_ratio_qoq_change_pp,loan_yoy_change_pp,4.516e-05
5,npl_ratio_qoq_change_pp,nim_qoq_change_pp,-0.0009386
5,npl_ratio_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.00016064
5,loan_yoy_change_pp,npl_ratio_qoq_change_pp,-0.03226338
5,loan_yoy_change_pp,loan_yoy_change_pp,0.00159516
5,loan_yoy_change_pp,nim_qoq_change_pp,0.02130107
5,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,-0.03489933
5,nim_qoq_change_pp,npl_ratio_qoq_change_pp,0.00099917
5,nim_qoq_change_pp,loan_yoy_change_pp,-9.39e-05
5,nim_qoq_change_pp,nim_qoq_change_pp,0.00191532
5,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.00290383
5,capital_adequacy_qoq_change_pp,npl_ratio_qoq_change_pp,0.11030812
5,capital_adequacy_qoq_change_pp,loan_yoy_change_pp,0.0001666
5,capital_adequacy_qoq_change_pp,nim_qoq_change_pp,0.03238062
5,capital_adequacy_qoq_change_pp,capital_adequacy_qoq_change_pp,0.00584542
6,npl_ratio_qoq_change_pp,npl_ratio_qoq_change_pp,-0.0010564
6,npl_ratio_qoq_change_pp,loan_yoy_change_pp,-9.91e-06
6,npl_ratio_qoq_change_pp,nim_qoq_change_pp,-2.18e-06
6,npl_ratio_qoq_change_pp,capital_adequacy_qoq_change_pp,3.006e-05
6,loan_yoy_change_pp,npl_ratio_qoq_change_pp,-0.10528298
6,loan_yoy_change_pp,loan_yoy_change_pp,-0.00067404
6,loan_yoy_change_pp,nim_qoq_change_pp,-0.03944957
6,loan_yoy_change_pp,capital_adequacy_qoq_change_pp,-0.00861448
6,nim_qoq_change_pp,npl_ratio_qoq_change_pp,-0.01161091
6,nim_qoq_change_pp,loan_yoy_change_pp,1.82e-05
6,nim_qoq_change_pp,nim_qoq_change_pp,-0.00432549
6,nim_qoq_change_pp,capital_adequacy_qoq_change_pp,-0.00052982
